title,release_date,vote_count,vote_average
De fûke,2000-04-20,0.0,0.0
Battle in Seattle,2007-09-07,75.0,6.3
Fuel,2009-01-01,0.0,0.0
Aspen,1991-01-01,0.0,0.0
Model,1980-06-02,1.0,5.0
Timecrimes,2007-09-20,313.0,7.0
Fire and Ice: The Dragon Chronicles,2008-09-18,22.0,4.5
The Secret of the Grain,2007-12-24,44.0,7.4
Hamlet,2000-12-10,0.0,0.0
Punk's Not Dead,2007-07-27,7.0,6.3
The Welts,2004-10-08,7.0,7.9
Grbavica: The Land of My Dreams,2006-03-01,15.0,6.9
Underworld: Rise of the Lycans,2009-01-22,1447.0,6.2
Inkheart,2008-12-11,610.0,6.0
Gun The Man Down,1956-11-15,1.0,6.0
Albuquerque,1948-02-20,7.0,7.1
Why We Fight: War Comes to America,1945-06-14,1.0,5.0
John Waters: This Filthy World,2006-11-24,10.0,8.2
The Soviet Story,2008-01-01,10.0,6.9
Shoot on Sight,2008-08-22,11.0,6.2
The Alphabet Killer,2008-11-07,50.0,5.2
Revenge of the Nerds III: The Next Generation,1992-06-10,18.0,4.0
Revenge of the Nerds IV: Nerds In Love,1994-05-09,19.0,3.5
Soup to Nuts,1930-09-28,2.0,3.5
Chinese Coffee,2000-09-02,16.0,6.3
Save Me,2007-01-01,11.0,5.1
The Lazarus Project,2008-10-21,116.0,6.0
The Man,1972-07-19,1.0,8.0
Galaxy Express 999,1979-08-04,12.0,6.2
Paul Blart: Mall Cop,2009-01-15,807.0,5.2
Notorious,2009-01-16,163.0,6.6
The Unborn,2009-01-09,373.0,4.8
Donkey Punch,2008-07-18,52.0,4.5
Where Is Fred?,2006-11-15,57.0,6.1
Make It Happen,2008-08-08,75.0,5.4
Three Strangers,1946-01-28,8.0,6.2
Repo! The Genetic Opera,2008-07-18,103.0,6.7
Edge of Madness,2002-01-01,6.0,5.8
The Uninvited,2009-01-30,424.0,6.3
Fear(s) of the Dark,2008-01-01,15.0,6.7
12:01,1993-07-05,33.0,6.2
Game Over,2005-08-26,4.0,3.5
Maria,2003-11-21,2.0,8.3
Night Train,2009-04-15,50.0,5.4
The Big Stampede,1932-10-08,5.0,3.2
Blue,1968-05-09,2.0,6.3
The Visitor,2008-12-08,2.0,6.0
Kummeli Goldrush,1997-12-05,15.0,6.8
Shadow of the Holy Book,2007-11-24,1.0,5.0
Outlander,2008-04-24,354.0,6.1
Belle of the Nineties,1934-09-21,3.0,4.5
Branded,1950-11-03,5.0,4.2
A Dead Calling,2006-12-12,3.0,2.0
Beachhead,1954-02-05,3.0,4.7
Los signos del zodiaco,1964-02-26,0.0,0.0
Passchendaele,2008-10-17,26.0,6.3
The Great Ecstasy of Woodcarver Steiner,1974-01-01,16.0,7.4
Go Go Tales,2007-05-23,14.0,5.4
Wrestling with Alligators,1998-01-18,0.0,0.0
The Badlanders,1958-09-03,6.0,6.1
Black Widow,1954-10-28,5.0,4.0
Bad Luck Love,2000-05-26,9.0,6.8
The Grudge 3,2009-05-12,150.0,5.3
Indictment: The McMartin Trial,1995-01-01,7.0,6.1
Eden Lake,2008-09-12,415.0,6.7
Triumph of the Nerds: The Rise of Accidental Empires,1996-06-22,11.0,7.5
Coraline,2009-02-05,1432.0,7.3
Psychomania,1973-01-05,16.0,6.5
Point of Order!,1964-01-14,1.0,5.0
Chocolate,2008-02-06,99.0,7.0
Blackout,2008-12-26,3.0,6.7
TerrorVision,1986-02-14,43.0,5.8
The Escapist,2008-06-20,79.0,6.4
Push,2009-02-06,671.0,5.9
The International,2009-02-03,373.0,6.0
Two Lovers,2008-11-19,157.0,6.6
He's Just Not That Into You,2009-02-06,988.0,6.2
Jar City,2006-10-20,20.0,6.7
Dead Like Me: Life After Death,2009-02-17,67.0,5.8
Uuno Turhapuro,1973-08-24,3.0,5.7
California,1947-02-21,3.0,6.3
Canyon Passage,1946-07-17,12.0,6.8
The Con,1998-03-04,3.0,5.0
Husbands,1970-12-08,16.0,6.1
The Cimarron Kid,1952-01-13,5.0,6.2
The Avenging Conscience: or 'Thou Shalt Not Kill',1914-08-02,4.0,6.5
Singapore Sling,1990-09-13,20.0,7.9
33 Scenes from Life,2008-11-07,4.0,6.0
Futurama: Into the Wild Green Yonder,2009-02-23,134.0,7.2
The Bandit,1996-11-29,51.0,7.5
Hotel for Dogs,2009-01-16,205.0,5.7
The Deadly Trackers,1973-12-21,3.0,5.0
Frontier(s),2007-07-01,186.0,6.0
Comet in Moominland,1992-08-08,6.0,7.3
The 11th Hour,2007-08-17,28.0,6.4
Daddy,1995-12-14,6.0,7.3
Fireflies in the Garden,2008-02-10,59.0,6.4
Afro Samurai: Resurrection,2009-01-25,49.0,6.7
Café Lumière,2004-09-01,16.0,6.7
Death by Hanging,1968-02-02,14.0,7.5
The Last Movie,1971-09-29,4.0,6.5
Dry Season,2006-09-01,6.0,6.8
Jesus Christ Superstar,2000-10-16,4.0,7.1
Trancers,1984-11-07,42.0,6.3
The Man Who Quit Smoking,1972-12-16,6.0,6.7
Departures,2008-09-13,202.0,7.7
Taking Chance,2009-09-21,31.0,6.8
AmericanEast,2008-11-14,4.0,6.1
My Name Is Bruce,2007-10-01,107.0,5.9
Man in the Chair,2007-01-27,4.0,5.3
Robinson in Space,1997-01-10,2.0,7.5
The Way of War,2009-02-20,12.0,3.5
Kimberly,2000-11-07,3.0,3.7
Ralliraita,2009-06-16,4.0,6.8
Ping Pong Playa,2007-01-01,23.0,6.0
Funny People,2009-07-31,398.0,5.6
Berlin Calling,2008-10-01,109.0,7.0
Against the Dark,2009-01-01,42.0,3.7
The Letter for the King,2008-07-16,4.0,7.0
Firepower,1979-04-27,5.0,5.6
Nuremberg,2000-07-16,23.0,7.6
Bigger Than Life,1956-08-02,37.0,7.4
Going to Kansas City,1998-07-31,2.0,5.0
Red Sands,2009-02-24,32.0,4.0
Show Me,2004-09-23,4.0,5.6
The Lost,2009-01-01,3.0,5.0
Still Waiting...,2009-02-17,27.0,5.1
Pistol Whipped,2008-03-04,26.0,5.5
Flight of Fury,2007-02-20,24.0,4.5
The Far Horizons,1955-05-20,3.0,4.0
Container,2006-03-10,4.0,6.1
Mystery Team,2009-08-28,52.0,6.4
Killer Babes,2007-12-20,3.0,7.0
A World Without Thieves,2004-12-09,30.0,7.1
The Gunfight at Dodge City,1959-05-01,5.0,4.3
His Private Secretary,1933-06-10,6.0,4.1
Street Fighter: The Legend of Chun-Li,2009-02-27,113.0,3.9
Urban Justice,2007-01-01,34.0,5.4
Tough Enough,2006-03-09,14.0,7.2
Madea Goes to Jail,2009-02-16,52.0,6.4
The Black Watch,1929-05-22,2.0,6.3
Away We Go,2009-06-05,189.0,6.7
Hell to Eternity,1960-08-01,1.0,10.0
The Unsuspected,1947-10-11,8.0,5.2
Thick as Thieves,2009-01-09,223.0,5.7
Beautiful Ohio,2006-11-10,2.0,6.5
Il Grido,1957-06-22,17.0,6.7
The Big Lift,1950-04-26,4.0,6.5
Il Divo,2008-05-23,166.0,7.5
Wings,1966-01-01,10.0,7.0
Paris,2008-01-19,79.0,6.5
Adrift in Manhattan,2007-01-10,5.0,5.7
Friday the 13th,2009-02-11,566.0,5.7
"The Good, The Bad, The Weird",2008-07-16,196.0,7.1
Screamers: The Hunting,2009-02-17,35.0,4.4
The Pink Panther 2,2009-02-06,323.0,5.4
Crips and Bloods: Made in America,2008-01-01,13.0,7.1
Far Cry,2008-01-01,73.0,3.1
I Manegen med Glenn Killing: Live från Berns,1995-09-30,0.0,0.0
The English Surgeon,2009-07-24,7.0,8.7
A Hell of a Day,2001-10-24,3.0,7.0
Shara,2003-01-01,10.0,5.9
Marius,1931-10-09,9.0,6.6
The Adventures of Food Boy,2008-01-01,10.0,5.6
César,1936-01-01,3.0,9.0
They Wait,2007-09-06,30.0,5.0
The Rebel,2007-04-27,10.0,6.5
Everlasting Moments,2008-09-24,16.0,7.9
Expecting Love,2008-02-29,2.0,4.0
Attack Force,2006-12-05,25.0,4.3
Shadow Man,2006-09-06,26.0,4.3
Playing for Keeps,1986-10-03,1.0,5.0
Rock-A-Doodle,1991-08-02,46.0,5.3
Tokyo.sora,2002-10-26,4.0,8.3
Dead Silent,1999-01-01,4.0,4.1
Dr. Horrible's Sing-Along Blog,2008-07-15,236.0,7.8
Today You Die,2005-09-13,31.0,4.0
The Cottage,2008-02-07,80.0,6.3
Two Men in Manhattan,1959-10-16,12.0,6.5
Fanny,1932-11-02,9.0,6.6
Out At The Wedding,2007-01-01,6.0,5.6
Born to the West,1937-12-10,5.0,4.1
The Hasty Heart,1949-12-02,2.0,6.5
Frontrunners,2008-10-15,0.0,0.0
The Quick and the Dead,1987-02-28,12.0,5.4
Joshua Tree,1993-08-04,33.0,5.1
Day of the Dead,2008-04-08,107.0,4.7
"I Love You, Man",2009-03-20,531.0,6.5
The Big Steal,1949-07-09,21.0,6.3
Billy Budd,1962-11-12,13.0,7.8
Night Has a Thousand Eyes,1948-10-13,8.0,5.8
Live Free or Die,2006-03-11,8.0,5.5
Blonde Venus,1932-09-09,23.0,6.5
Dance of the Dead,2008-10-14,66.0,6.0
The Haunting in Connecticut,2009-03-27,317.0,6.0
The Little Engine That Could,1991-01-01,0.0,0.0
Duplicity,2009-03-19,203.0,5.7
Knowing,2009-03-19,1528.0,5.9
Sugar,2009-04-03,12.0,6.5
Young Thugs: Nostalgia,1998-09-26,5.0,6.1
Praying With Lior,2008-06-17,0.0,0.0
Ong Bak 2,2008-12-04,156.0,5.9
The Girl with the Dragon Tattoo,2009-02-27,1020.0,7.4
Bloodbath at the House of Death,1984-03-29,9.0,5.6
Sunshine Cleaning,2008-01-18,256.0,6.5
Kung Fu Panda: Secrets of the Furious Five,2008-11-08,80.0,6.5
Hangman's Knot,1952-11-15,7.0,5.7
Immortal Sergeant,1943-04-29,2.0,6.3
Nigdy w życiu!,2004-02-13,9.0,5.7
The Children of Leningradsky,2005-08-05,5.0,8.2
Submerged,2005-05-06,32.0,4.0
Stacy: Attack of the Schoolgirl Zombies,2001-08-18,14.0,4.7
Insanitarium,2008-07-15,26.0,5.0
Illegal,1955-10-28,7.0,6.1
Echelon Conspiracy,2009-02-27,110.0,5.4
Jasminum,2006-06-29,1.0,6.0
After Sex,2007-09-26,54.0,5.2
The Third Part of the Night,1971-12-17,17.0,7.3
13B: Fear Has a New Address,2009-03-06,16.0,5.7
Monsters vs Aliens,2009-03-19,1464.0,6.0
Boarding Gate,2007-05-18,18.0,5.1
California Dreamin',2007-06-01,15.0,6.2
Counter Investigation,2007-03-07,69.0,7.0
Sita Sings the Blues,2008-02-11,25.0,6.9
Naked Fear,2007-04-01,14.0,5.4
Chaos,2005-08-10,7.0,4.4
Three on a Match,1932-10-29,18.0,6.1
Kogel-mogel,1988-08-15,6.0,7.5
Land of Silence and Darkness,1971-10-08,16.0,7.5
The Baader Meinhof Complex,2008-09-24,157.0,7.1
Big Stan,2007-06-06,178.0,5.9
Dating The Enemy,1996-09-19,10.0,6.7
Blue Steel,1934-05-10,10.0,4.5
We Live in Public,2009-08-28,18.0,7.4
Strictly Sexual,2008-01-01,27.0,6.3
Nothing But the Truth,2008-12-19,134.0,6.9
The Square,2008-06-15,30.0,6.2
The Gray Man,2007-08-30,15.0,5.8
Anvil! The Story of Anvil,2008-01-14,85.0,7.7
Border Incident,1949-10-28,7.0,7.2
Star of Midnight,1935-04-19,3.0,5.3
Observe and Report,2009-04-10,229.0,5.6
Private Lives,1931-12-12,6.0,6.1
Too Many Girls,1940-10-08,3.0,5.0
Union Station,1950-10-04,11.0,6.0
Adventureland,2009-04-03,748.0,6.4
With Fire and Sword,1999-02-08,9.0,6.7
Scenes of a Sexual Nature,2006-11-03,22.0,5.2
The Cake Eaters,2007-04-29,39.0,5.5
Confessions of a Shopaholic,2009-02-05,787.0,6.1
The Black Balloon,2008-03-08,31.0,6.7
The Butterfly Effect 3: Revelations,2009-01-09,158.0,5.1
Revanche,2008-05-16,59.0,7.2
One Kill,2000-01-01,0.0,0.0
Killer Force,1976-01-14,3.0,3.7
Cheeky,2000-01-28,40.0,5.5
The Lucky Ones,2008-09-26,55.0,6.3
Ystäväni Henry,2004-08-20,0.0,0.0
The Body,2003-08-22,7.0,5.6
Fitna,2008-03-27,1.0,1.0
The Land of Happiness,1993-04-30,0.0,0.0
Dragonball Evolution,2009-04-01,475.0,2.9
Flash Gordon,1936-10-10,10.0,6.6
Rest Stop,2006-10-07,59.0,5.0
Your life in 65 minutes,2006-07-14,4.0,6.5
Kansas Raiders,1950-08-19,8.0,5.9
The Lonely Man,1957-06-21,2.0,6.0
Dating Games People Play,2008-02-12,0.0,0.0
Man on the Flying Trapeze,1935-08-03,2.0,4.0
Porgy and Bess,1959-06-24,6.0,5.7
Can-Can,1960-03-09,9.0,7.2
Pekka ja Pätkä lumimiehen jäljillä,1954-07-30,3.0,5.7
Law and Order,1953-05-13,3.0,4.2
The Gravedancers,2005-11-03,50.0,5.7
Broken,2006-01-01,15.0,4.8
Kiler,1997-10-17,18.0,8.1
Fast & Furious,2009-04-02,2426.0,6.5
City Girl,1930-02-16,19.0,7.4
Hangover Square,1945-10-29,10.0,5.0
Sanshiro Sugata,1943-03-25,24.0,6.0
Sanshiro Sugata Part Two,1945-05-03,10.0,5.5
The Exterminating Angels,2006-09-13,14.0,4.8
Superstar: The Karen Carpenter Story,1988-04-30,12.0,7.5
A Force of One,1979-06-01,22.0,3.6
Gardens of the Night,2008-11-21,28.0,6.5
In the Loop,2009-01-22,194.0,7.0
Global Metal,2008-06-20,19.0,7.6
The End Of America,2008-01-01,6.0,7.3
What Doesn't Kill You,2008-12-12,37.0,6.4
Linha de Passe,2008-09-05,10.0,6.3
Crime Wave,1954-01-12,12.0,6.5
Escape from Fort Bravo,1953-12-04,13.0,6.0
Ride Lonesome,1959-02-15,29.0,6.0
The Boat That Rocked,2009-04-01,678.0,7.2
Apollo 13: To the Edge and Back,1994-01-01,0.0,0.0
The Small Back Room,1949-02-21,10.0,6.6
The Mindscape of Alan Moore,2003-08-24,4.0,6.3
17 Again,2009-03-11,1388.0,6.1
"Nana, the True Key of Pleasure",1983-06-13,3.0,4.7
Double Trouble,1984-10-19,105.0,6.6
Inglourious Basterds,2009-08-18,6598.0,7.9
State of Play,2009-04-17,489.0,6.7
The Lawless Breed,1953-01-03,3.0,6.7
Lust for Gold,1949-06-10,8.0,4.7
La estrategia del caracol,1993-12-25,9.0,7.2
Strike,1925-04-28,29.0,7.2
The Magic of Méliès,1997-01-01,2.0,7.5
Lawless Range,1935-11-04,2.0,5.3
Bab'Aziz,2005-01-01,8.0,7.2
The Damned United,2009-03-27,156.0,7.2
Hank and Mike,2008-01-01,6.0,6.1
Crank: High Voltage,2009-04-16,878.0,5.9
The Garage,1920-01-11,6.0,6.8
The Strong Man,1926-11-19,2.0,6.5
The Final Inquiry,2006-12-13,9.0,4.0
Kiler-ów 2-óch,1999-01-08,10.0,8.1
The Man Behind The Gun,1953-01-31,1.0,6.0
Moon,2009-06-12,1831.0,7.6
Komedia malzenska,1994-05-07,0.0,0.0
Break Up,1998-08-20,9.0,3.8
Fraternity Demon,1992-01-01,2.0,3.3
The Smart Set,1928-03-24,1.0,7.0
Aamir,2008-06-06,12.0,6.7
Mammoth,2009-01-19,41.0,6.1
The Days Between,2001-08-01,3.0,6.3
The Young Victoria,2009-03-04,330.0,7.1
Intentions of Murder,1964-06-28,12.0,6.6
Amazing Journey: The Story of The Who,2007-09-14,1.0,7.0
The Informers,2008-11-05,60.0,4.4
Antique,2008-01-01,13.0,6.2
X-Men Origins: Wolverine,2009-04-28,4086.0,6.2
The Girlfriend Experience,2009-01-20,83.0,5.2
Turtles Are Surprisingly Fast Swimmers,2005-07-02,9.0,6.4
The Desert Trail,1935-04-21,8.0,3.3
Moving Midway,2007-04-14,2.0,5.5
American Swing,2008-01-01,5.0,4.3
Sin Nombre,2009-03-20,139.0,7.3
The Life and Times of Allen Ginsberg,2008-01-01,0.0,0.0
Star Trek,2009-05-06,4574.0,7.4
Happy Campers,2001-01-21,10.0,5.4
Black Magic,1944-08-19,3.0,8.2
Lymelife,2008-09-08,43.0,6.4
The Great Buck Howard,2008-01-18,86.0,6.0
Euphoria,2006-02-11,10.0,6.0
Cherry Blossoms,2008-03-05,29.0,7.5
Riders of Destiny,1933-10-10,7.0,4.3
Flatfoot in Egypt,1980-03-01,33.0,6.2
XIII,2008-09-24,43.0,5.9
Knights of Bloodsteel,2009-09-07,5.0,4.6
Red Cliff Part II,2009-01-07,110.0,7.1
Täynnä tarmoa,2009-03-01,1.0,8.0
Love Sick,2006-03-16,16.0,6.9
The Girl from Monaco,2008-08-20,25.0,4.9
Black Ice,2007-10-19,10.0,5.4
Wild Things: Diamonds in the Rough,2005-02-19,29.0,4.3
Człowiek z M-3,1969-02-20,1.0,7.0
I Hate Mondays,1971-08-27,7.0,7.7
S. Darko,2009-04-28,124.0,3.6
Earth,2007-04-22,136.0,7.5
Sagebrush Trail,1933-12-15,10.0,4.2
Stanley Kubrick: A Life in Pictures,2001-05-02,44.0,7.2
A Lady Takes a Chance,1943-08-19,3.0,7.5
Wyjście awaryjne,1982-12-25,0.0,0.0
Shuttle,2008-03-08,19.0,5.7
Crossing Over,2009-02-27,95.0,6.2
Angels & Demons,2009-05-13,2183.0,6.5
"Kids in the Hall: Same Guys, New Dresses",2001-03-02,0.0,0.0
Django the Bastard,1969-11-08,7.0,4.4
The Man from Monterey,1933-07-15,4.0,5.3
Horrorvision,2001-02-13,3.0,3.5
Daylight Robbery,2008-08-29,13.0,5.3
Scorpio,1973-04-10,19.0,6.0
Balls Out: The Gary Houseman Story,2009-01-13,36.0,5.4
Outrage,2009-01-01,7.0,7.4
The Seduction of Joe Tynan,1979-08-17,5.0,7.0
Man in the Middle,1963-10-01,5.0,6.6
More Dead Than Alive,1969-01-15,6.0,5.9
Powder Blue,2009-05-08,69.0,6.3
The Devil Is a Woman,1935-05-03,11.0,6.2
Fanboys,2009-02-06,320.0,6.1
Folks!,1992-05-01,10.0,6.1
Breaking the Rules,1992-10-09,4.0,5.4
Live!,2007-01-01,48.0,5.7
The Merry Gentleman,2008-04-16,10.0,6.8
The Murder of Fred Hampton,1971-01-01,2.0,7.5
Incendiary,2008-01-20,55.0,5.3
Love Songs,2007-05-23,61.0,7.0
Management,2009-02-08,102.0,5.5
Terminator Salvation,2009-05-20,2496.0,5.9
Night at the Museum: Battle of the Smithsonian,2009-05-20,2026.0,5.9
Ghosts of Cité Soleil,2006-01-01,1.0,5.0
How to Cook Your Life,2007-05-10,1.0,5.0
Were The World Mine,2008-06-24,25.0,6.1
Every Little Step,2009-04-17,5.0,5.8
Lesbian Vampire Killers,2009-03-16,126.0,5.3
The Brothers Bloom,2008-09-09,206.0,6.8
Man in the Saddle,1951-12-02,4.0,5.6
Montana,1950-01-28,2.0,4.8
Vincere,2009-05-19,29.0,6.4
A Cure for Love,1966-07-20,0.0,0.0
Our Folks,1967-09-15,16.0,7.6
Paisan,1946-12-10,44.0,7.6
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",1975-05-14,31.0,7.3
Shall We Kiss?,2007-06-06,15.0,6.6
I Do,2006-11-01,80.0,6.4
Hi Diddle Diddle,1943-08-02,3.0,8.3
Rhinoceros,1974-01-21,2.0,7.5
The Man With Bogart's Face,1980-10-03,2.0,6.0
The Monster,1925-03-16,1.0,6.0
Chop Shop,2007-05-21,23.0,7.2
Caliber 9,1972-02-15,26.0,7.5
Suzanne's Career,1963-02-01,9.0,5.4
Moontide,1942-05-29,8.0,5.4
Catacombs,2007-06-01,49.0,4.5
The Soloist,2009-04-24,237.0,6.6
The Last House on the Left,2009-03-13,449.0,6.2
Anioł w Krakowie,2002-09-20,2.0,9.0
Neon Genesis Evangelion: Death and Rebirth,1997-03-15,54.0,7.4
Drag Me to Hell,2009-03-15,995.0,6.2
Up,2009-05-13,7048.0,7.8
Late Autumn,1960-11-13,15.0,7.7
Fullmetal Alchemist the Movie: Conqueror of Shamballa,2005-07-21,74.0,7.0
Easy Virtue,2008-01-01,112.0,6.4
Dance Flick,2009-05-22,73.0,4.7
Summer Hours,2008-03-05,34.0,6.8
Show People,1928-11-20,8.0,6.8
Two English Girls,1971-11-18,24.0,6.7
Female,1933-11-11,6.0,6.2
Firecreek,1968-01-24,16.0,5.5
OSS 117: Lost in Rio,2009-04-14,306.0,7.0
The Flame of New Orleans,1941-07-07,4.0,4.8
Flash Gordon: Trip to Mars,1938-03-21,2.0,4.3
Personal Effects,2009-02-06,37.0,5.8
Fired Up!,2009-02-20,194.0,6.0
The Winslow Boy,1948-09-24,7.0,6.5
Trojan War,1997-09-26,25.0,5.4
The War Game,1965-11-01,32.0,7.8
Without a Paddle: Nature's Calling,2009-01-13,18.0,5.1
Graduation,2007-04-24,16.0,5.7
Welcome,2009-03-11,62.0,7.1
In the Electric Mist,2009-04-15,112.0,6.0
The Hangover,2009-06-05,6324.0,7.2
Killshot,2008-11-13,80.0,5.9
Antichrist,2009-05-18,687.0,6.4
Don,1978-04-20,18.0,6.0
Sweeney Todd,2006-01-03,39.0,6.3
Pete Kelly's Blues,1955-07-31,5.0,6.4
Jimmy and Judy,2006-01-01,8.0,5.4
A Song Is Born,1948-10-19,10.0,6.4
Billu,2009-02-13,27.0,6.5
Many Rivers to Cross,1955-02-04,2.0,6.0
Ricky Rapper,2008-02-14,2.0,6.3
Show,2003-03-19,2.0,6.3
Boy Eats Girl,2005-06-07,19.0,5.4
"Ranma ½: The Movie 1, Big Trouble in Nekonron, China",1991-11-02,5.0,5.3
The Man From Utah,1934-05-15,8.0,4.1
The Wing or the Thigh,1976-10-27,115.0,6.8
Perched on a Tree,1971-04-12,21.0,5.0
Marius and Jeannette,1997-01-01,7.0,5.9
Ernest Rides Again,1993-01-01,4.0,4.5
U Pana Boga za piecem,1998-10-06,2.0,6.8
Blind Husbands,1919-10-21,3.0,6.0
Berlin Alexanderplatz,1980-08-28,5.0,8.4
Before The Rains,2007-09-07,3.0,5.0
Special,2006-01-30,32.0,6.6
New in Town,2009-01-30,99.0,5.2
The Merry Widow,2007-11-01,19.0,4.9
Salaam Namaste,2005-09-09,21.0,5.7
Dead Snow,2009-01-09,313.0,6.1
Land of the Lost,2009-06-05,387.0,5.4
The Clique,2008-11-11,35.0,5.2
Fatso,2008-10-24,17.0,5.1
A Free Soul,1931-06-02,3.0,4.7
Momma's Man,2008-01-18,2.0,6.5
Imagine That,2009-06-19,134.0,5.7
The Taking of Pelham 1 2 3,2009-06-11,971.0,6.2
Hana and Alice,2004-03-13,25.0,6.9
Flame & Citron,2008-03-25,68.0,6.8
Fade to Black,2006-03-09,4.0,5.0
In Therapy,2009-04-17,7.0,5.6
Chain Reaction,2006-01-01,9.0,5.9
Jekyll + Hyde,2006-05-05,9.0,4.8
Went the Day Well?,1942-12-07,11.0,7.1
Zulu Dawn,1979-05-14,35.0,5.6
American Violet,2008-01-01,9.0,7.2
Suspect X,2008-10-04,31.0,7.4
Spiritual Kung Fu,1978-11-23,11.0,6.3
Big Man Japan,2007-05-19,23.0,5.3
Wrestling Ernest Hemingway,1993-12-17,7.0,5.7
Cargo,2005-12-26,12.0,4.7
The Hitman,1991-05-01,26.0,5.3
Goodbye Again,1961-05-23,7.0,4.6
The Stoning of Soraya M.,2008-09-07,63.0,8.0
The Proposal,2009-06-01,1858.0,6.7
The Crawling Hand,1963-09-04,7.0,2.4
Dillinger,1973-07-20,23.0,6.7
Home from the Hill,1960-03-03,8.0,3.8
Small Town Gay Bar,2007-03-31,7.0,5.7
Year One,2009-06-18,538.0,4.6
O'Horten,2007-12-26,14.0,6.1
Pekka ja Pätkä neekereinä,1960-03-11,0.0,0.0
5 Against the House,1955-06-10,6.0,5.3
Three on a Couch,1966-03-01,4.0,5.0
Promise Me This,2007-05-26,17.0,6.4
Mindwarp,1992-05-25,20.0,5.5
The Land That Time Forgot,1975-08-13,37.0,5.7
Tyson,2008-05-16,30.0,6.6
Primary,1960-01-01,6.0,7.0
Angels of the Universe,2000-01-01,11.0,6.9
The Alibi,2006-01-12,30.0,5.7
Garfield's Pet Force,2009-08-05,20.0,5.7
Dutchman,1967-02-27,2.0,4.3
The Hurt Locker,2008-10-10,1881.0,7.2
The Executioner,1963-09-01,18.0,7.5
Air Hawks,1935-05-07,1.0,6.0
Anna Lucasta,1958-11-01,2.0,5.0
How I Unleashed World War II Part III: Among Friends,1970-04-06,3.0,7.0
Tu£sday,2008-10-10,1.0,8.0
Breakfast with Scot,2007-11-16,13.0,5.9
La Ronde,1950-09-27,19.0,7.5
Brunet wieczorową porą,1976-10-18,3.0,6.3
Going Berserk,1983-09-30,5.0,5.4
Luther the Geek,1990-01-01,4.0,6.5
Les vampires,1915-11-13,16.0,6.8
The Limits of Control,2009-05-01,68.0,6.4
Pornorama,2007-10-11,11.0,6.3
Heavy Metal in Baghdad,2007-09-08,7.0,6.1
Raiders of the Lost Ark - The Adaptation,1989-01-01,6.0,6.3
Transformers: Revenge of the Fallen,2009-06-19,3192.0,6.0
Home,2009-06-03,181.0,7.9
K2,1991-10-09,46.0,5.7
Dabbe,2006-02-09,3.0,3.3
Tulpan,2009-03-04,14.0,5.6
The File on Thelma Jordon,1950-01-18,8.0,6.3
Jet Pilot,1957-10-11,15.0,5.2
Phoebe in Wonderland,2008-02-07,45.0,7.0
Whatever Works,2009-06-19,365.0,6.8
Ghosts of Girlfriends Past,2009-05-01,716.0,5.6
Holly,2006-08-16,4.0,6.9
Hustle,1975-12-25,6.0,6.4
Houdini,1953-07-02,21.0,6.6
Public Enemies,2009-07-01,1371.0,6.5
Ice Age: Dawn of the Dinosaurs,2009-06-29,2330.0,6.5
120,2008-02-15,2.0,7.5
Prison Break: The Final Break,2009-05-26,174.0,7.5
Samson and Delilah,2009-05-07,19.0,5.7
Final Approach,1991-12-06,6.0,5.7
The Mob,1951-09-07,10.0,6.0
Daisy Kenyon,1947-12-25,9.0,6.4
Is It College Yet?,2002-01-01,26.0,7.4
Irena do domu!,1955-11-26,0.0,0.0
The Journey to Melonia,1989-12-15,8.0,6.8
Love Streams,1984-02-20,26.0,7.4
Blue Week,1954-02-26,3.0,6.0
Night Of The Living Dead 3D,2007-05-06,12.0,4.0
Mumia Abu-Jamal: A Case for Reasonable Doubt?,1998-03-01,0.0,0.0
Off the Charts: The Song-Poem Story,2003-11-13,0.0,0.0
My Sister's Keeper,2009-06-26,614.0,7.1
Kambakkht Ishq,2009-07-03,15.0,4.3
Hood of Horror,2006-06-27,18.0,4.2
The Dirt Bike Kid,1985-11-24,8.0,5.3
Kandukondain Kandukondain,2000-05-05,7.0,6.4
Lady Death,2004-10-05,8.0,5.8
Blonde Crazy,1931-12-03,9.0,5.9
Tales of the Black Freighter,2009-03-24,45.0,7.0
"Ranma ½: Nihao, My Concubine",1992-08-02,5.0,5.8
Pittsburgh,1942-12-11,6.0,5.3
The Lucky Texan,1934-01-22,9.0,3.9
(500) Days of Summer,2009-07-17,2993.0,7.2
Through the Olive Trees,1994-01-01,20.0,7.4
News from a Personal War,1999-04-14,5.0,6.5
Magnificent Obsession,1935-12-30,1.0,8.0
7th Heaven,1927-01-01,22.0,6.9
Madame Bovary,1949-08-25,7.0,6.3
Brüno,2009-07-08,528.0,5.4
The Boys: The Sherman Brothers' Story,2009-01-01,5.0,7.8
1939: Hollywood's Greatest Year,2009-07-02,1.0,8.0
Madigan,1968-03-29,13.0,5.6
Terrified,1995-01-13,5.0,3.7
The Pinchcliffe Grand Prix,1975-08-28,28.0,7.9
The Librarian: The Curse of the Judas Chalice,2008-12-07,134.0,5.9
The Inhabited Island,2008-12-18,24.0,5.4
Gravehopping,2005-06-06,2.0,6.0
Franklyn,2008-10-16,100.0,5.9
Men of War,1994-09-04,30.0,5.5
